model,q,q_std,n_splines_q,lam_q,lam_temp,lam_wind,lam_solar,edof_total,r2_train,r2_val_100,rmse_val_100,mae_val_100,r2_val_energy_100,pearson_ALL_100,spearman_ALL_100,r2_val_1000,rmse_val_1000,mae_val_1000,pearson_ALL_1000,spearman_ALL_1000
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,50,20,50,70.25180697659556,0.9908179709819513,0.9840508123340471,753.5805792754951,607.000896890918,0.9840508123340471,0.19766516602288678,0.4299936280479902,0.9840508123340471,753.5805792754951,607.000896890918,0.43651600288360204,0.5091565397367639
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,50,50,20,70.32108402615962,0.9908184082986925,0.9840480424120278,753.6460142325184,607.0459364911277,0.9840480424120278,0.19768097593033657,0.4300096591355949,0.9840480424120278,753.6460142325184,607.0459364911277,0.43652373985257503,0.5091557488017481
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,50,50,50,69.10884565043428,0.9908179345245224,0.9840498079596899,753.6043066624445,607.0247726291572,0.9840498079596899,0.19767168491885295,0.43001074767381725,0.9840498079596899,753.6043066624445,607.0247726291572,0.4365278853533407,0.5091604628442132
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,5,20,72.97267199335846,0.9908182861301855,0.9840001134881186,754.7773597278929,607.8332115089756,0.9840001134881186,0.20033716008875546,0.4312589823844166,0.9840001134881186,754.7773597278929,607.8332115089756,0.4419674113610293,0.5106496103719118
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,5,50,71.76042072415098,0.9908178126501076,0.9840019132133832,754.734908486636,607.812024067753,0.9840019132133832,0.20033448453232464,0.4312646810698785,0.9840019132133832,754.734908486636,607.812024067753,0.4419845219882613,0.5106681755562691
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,10,20,72.2421305648934,0.9908182803053731,0.9839997275762028,754.786462161848,607.841844416474,0.9839997275762028,0.20033848853149333,0.4312688475899143,0.9839997275762028,754.786462161848,607.841844416474,0.4419696116751318,0.5106572010686837
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,10,50,71.02988059915099,0.9908178067905395,0.9840015289462049,754.7439726364946,607.8206252942861,0.9840015289462049,0.20033581192838798,0.43127416986805367,0.9840015289462049,754.7439726364946,607.8206252942861,0.4419867213641399,0.5106670853609816
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,20,20,71.44221840098471,0.9908182668361806,0.9839991330096871,754.8004858789445,607.8553133791526,0.9839991330096872,0.20034041806592304,0.4312523772439139,0.9839991330096871,754.8004858789445,607.8553133791526,0.4419727858630882,0.5106490087473456
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,20,50,70.22997011285625,0.9908177932983556,0.9840009370058864,754.7579351974648,607.8340286736274,0.9840009370058864,0.200337739765949,0.4312622917692216,0.9840009370058864,754.7579351974648,607.8340286736274,0.4419898940829412,0.510676112806695
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,50,20,70.29925288812443,0.9908182303397401,0.9839981059501337,754.8247099603913,607.8792259239749,0.9839981059501337,0.2003433616975709,0.43126611210534416,0.9839981059501337,754.8247099603913,607.8792259239749,0.4419773686896532,0.5106648236578503
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,20,50,50,69.08700756476888,0.9908177568397714,0.9839999147621658,754.7820470543971,607.8577795583582,0.9839999147621658,0.20034067962223093,0.43126099671354134,0.9839999147621658,754.7820470543971,607.8577795583582,0.44199447304134737,0.5106657569571188
