model,q,q_std,n_splines_q,lam_q,lam_temp,lam_wind,lam_solar,edof_total,r2_train,r2_val_100,rmse_val_100,mae_val_100,r2_val_energy_100,pearson_ALL_100,spearman_ALL_100,r2_val_1000,rmse_val_1000,mae_val_1000,pearson_ALL_1000,spearman_ALL_1000
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,10,10,10,74.37933850708305,0.9908189134399954,0.98407363519083,753.0412095226797,606.618004151965,0.98407363519083,0.1957983455822717,0.4294007058003125,0.98407363519083,753.0412095226797,606.618004151965,0.4327168075877311,0.5083330104990544
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,10,10,20,73.634032522002,0.9908186883694023,0.9840740576236301,753.0312225790201,606.6174351285752,0.9840740576236301,0.19579414003405476,0.42940180582044635,0.9840740576236301,753.0312225790201,606.6174351285752,0.43272220253147425,0.5083438444224665
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,10,20,10,73.57942191758947,0.9908189000126941,0.9840730502228117,753.055038823484,606.6314417320725,0.9840730502228117,0.1958033751925104,0.4293997616545799,0.9840730502228117,753.055038823484,606.6314417320725,0.4327263540110631,0.508335432173517
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,10,20,20,72.83411690716994,0.9908186749338933,0.9840734740596779,753.0450188693909,606.6308258598543,0.9840734740596779,0.19579916260019634,0.42937880651342974,0.9840734740596779,753.0450188693909,606.6308258598543,0.43273173518870744,0.508330339307466
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,20,10,10,74.03888663103673,0.9908188739217796,0.9840730673052595,753.0546349788357,606.6211655855044,0.9840730673052595,0.1958021830182024,0.42939211577277525,0.9840730673052595,753.0546349788357,606.6211655855044,0.4327265709682581,0.5083363605526946
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,20,10,20,73.29358483808613,0.9908186489287689,0.9840734763972057,753.0449636073797,606.6207425417042,0.9840734763972057,0.1957979770905951,0.429385235300926,0.9840734763972057,753.0449636073797,606.6207425417042,0.43273196877623277,0.5083379175379308
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,20,20,10,73.23897107302,0.9908188604939421,0.9840724854675054,753.0683900321252,606.6346019322089,0.9840724854675054,0.19580720690380843,0.4293909907436998,0.9840724854675054,753.0683900321252,606.6346019322089,0.4327361045431633,0.5083335845815792
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,10,20,20,20,72.49367025575773,0.9908186354927373,0.9840728959517856,753.0586859214465,606.6341293502692,0.9840728959517856,0.19580299392774722,0.4293951309373929,0.9840728959517856,753.0586859214465,606.6341293502692,0.43274148857905914,0.508347330023444
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,10,10,10,73.99851907790055,0.9908188003636466,0.9840505384695314,753.5870491377472,607.0021850330995,0.9840505384695314,0.19766072932762563,0.42999103149936974,0.9840505384695314,753.5870491377472,607.0021850330995,0.4364659134288454,0.509139289615838
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,10,10,20,73.25321433440836,0.9908185753650582,0.9840509656295962,753.5769577485374,607.0015287104482,0.9840509656295962,0.19765811117472615,0.42997876499779925,0.9840509656295962,753.5769577485374,607.0015287104482,0.43647445010976943,0.509132098654632
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,10,20,10,73.1986032522459,0.9908187869214972,0.9840499438209098,753.6010971143015,607.0158012348952,0.9840499438209098,0.19766496139188305,0.4299891173332231,0.9840499438209098,753.6010971143015,607.0158012348952,0.43647377282280037,0.509140192388388
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,10,20,20,72.45329948376732,0.990818561914776,0.9840503723992836,753.5909724069434,607.0151046975063,0.9840503723992836,0.19766233800873245,0.42999260243889537,0.9840503723992836,753.5909724069434,607.0151046975063,0.43648229939841526,0.5091417155790376
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,20,10,10,73.65806796715839,0.9908187608519017,0.9840499653711227,753.6005880167356,607.0053515689457,0.9840499653711227,0.1976638895030282,0.42998221710531753,0.9840499653711227,753.6005880167356,607.0053515689457,0.4364743034842963,0.5091351827707189
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,20,10,20,72.91276741645272,0.9908185359309069,0.9840503791712956,753.5908124242856,607.0048429202714,0.9840503791712956,0.19766127132203987,0.42998257907430576,0.9840503791712956,753.5908124242856,607.0048429202714,0.43648284362240997,0.5091336909597589
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,20,20,10,72.85815317314368,0.9908187474092496,0.9840493738603094,753.6145616153614,607.0189654081328,0.9840493738603094,0.19766811647663177,0.4299974900594133,0.9840493738603094,753.6145616153614,607.0189654081328,0.43648215140497176,0.5091428662793783
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,20,20,20,20,72.11285359847889,0.9908185224801358,0.9840497890670776,753.6047529752453,607.018413145768,0.9840497890670776,0.19766549306039044,0.42999412018453304,0.9840497890670776,753.6047529752453,607.018413145768,0.43649068143324127,0.5091408770491771
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,10,10,10,74.37933850708305,0.9908189134399954,0.98407363519083,753.0412095226797,606.618004151965,0.98407363519083,0.1957983455822717,0.4294007058003125,0.98407363519083,753.0412095226797,606.618004151965,0.4327168075877311,0.5083330104990544
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,10,10,20,73.634032522002,0.9908186883694023,0.9840740576236301,753.0312225790201,606.6174351285752,0.9840740576236301,0.19579414003405476,0.42940180582044635,0.9840740576236301,753.0312225790201,606.6174351285752,0.43272220253147425,0.5083438444224665
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,10,20,10,73.57942191758947,0.9908189000126941,0.9840730502228117,753.055038823484,606.6314417320725,0.9840730502228117,0.1958033751925104,0.4293997616545799,0.9840730502228117,753.055038823484,606.6314417320725,0.4327263540110631,0.508335432173517
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,10,20,20,72.83411690716994,0.9908186749338933,0.9840734740596779,753.0450188693909,606.6308258598543,0.9840734740596779,0.19579916260019634,0.42937880651342974,0.9840734740596779,753.0450188693909,606.6308258598543,0.43273173518870744,0.508330339307466
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,20,10,10,74.03888663103673,0.9908188739217796,0.9840730673052595,753.0546349788357,606.6211655855044,0.9840730673052595,0.1958021830182024,0.42939211577277525,0.9840730673052595,753.0546349788357,606.6211655855044,0.4327265709682581,0.5083363605526946
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,20,10,20,73.29358483808613,0.9908186489287689,0.9840734763972057,753.0449636073797,606.6207425417042,0.9840734763972057,0.1957979770905951,0.429385235300926,0.9840734763972057,753.0449636073797,606.6207425417042,0.43273196877623277,0.5083379175379308
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,10,20,20,10,73.23897107302,0.9908188604939421,0.9840724854675054,753.0683900321252,606.6346019322089,0.9840724854675054,0.19580720690380843,0.4293909907436998,0.9840724854675054,753.0683900321252,606.6346019322089,0.4327361045431633,0.5083335845815792
